EIN_value,Name,State,City,NTEE_Code,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
10956020,Masimo Foundation For Ethics Innovation & Competition In Health,CA,Irvine,T20,"THE LETTER SHOULD PROVIDE INFORMATION NECESSARY FOR THE FOUNDATION TO DETERMINE WHETHER THE GRANT REQUEST MEETS ITS GUIDELINES AND SUPPORTS ITS MISSION, INCLUDING A DESCRIPTION OF THE PROJECT TO BE FUNDED, THE TOTAL PROJECT BUDGET, THE AMOUNT REQUESTED FROM THE FOUNDATION, AND BACKGROUND INFORMATION ABOUT THE APPLYING ORGANIZATION, INCLUDING ITS HISTORY, PURPOSE AND ACTIVITIES. REVIEW THE LETTER OF INQUIRY CHECKLIST FOR MORE DETAILS WHICH CAN BE FOUND AT HTTP://WWW.MASIMOFOUNDATION.ORG. THE FOUNDATION CONSIDERS ALL LETTERS OF INQUIRY AND ACKNOWLEDGES THEIR RECEIPT BY EMAIL. IF THE FOUNDATION DETERMINES THAT THE REQUESTOR'S FUNDING NEEDS ARE CONSISTENT WITH THE FOUNDATION'S ELIGIBILITY REQUIREMENTS, THE REQUESTOR WILL BE INVITED TO APPLY AND PROVIDE THE NECESSARY FORMS AND DETAILS TO SUBMIT A COMPREHENSIVE APPLICATION.",THE MASIMO FOUNDATION ATTN GLENN PA,NONE,NONE,no,
473860686,Dooley Leah Rebekah Lodge Foundation,WA,Goldendale,,Complete Foundation supplied application forms outlining accomplishments and future educational plans and goals,Liz Ihrig,Varies throughout year,Must be enrolled in post-secondary education program,no,
223038088,Earl W And Hildagunda A Brinkman Private Charitable Fnd 010490,NY,Scottsville,,REQUEST IN WRITING WITH A DESCRIPTION AND PURPOSE OF THE SPECIFIC PROGRAM,ELEANOR HAWTHORNE,NONE,NONE,no,
464340990,George And Audrey Gaukler Family Foundation,MN,Bloomington,T22,No application process formerly defined,George Gaukler,No submission deadlines currently exist,"Support the charitable, educational, scientific and religious interests of the Gaukler family primarily in North Dakota and Minnesota",no,
383430867,Baiardi Family Foundation Inc,MI,Harbor Spgs,T20,,BAIARDI FAMILY FOUNDATION,,,no,
232706874,Bruce R And Madelyn G Snyder Foundation,PA,Red Lion,,ANY FORM IS ACCEPTABLE,B ROBERT SNYDER,NONE,NONE,no,
912144204,Antonio Gonzalez Sr Charitable Trust Fund,TX,Laredo,,,ROBERTO GONZALEZ,,,no,
812271032,Fc Boca Predators Corp,FL,Boca Raton,N63,"NAME, ADDRESS AND REASON FOR APPLYING",RACKEL ALMEIDA,NO DEADLINES,NO RESTRICTIONS,no,
455057585,William H Andreson Charitable Trust,KS,Stockton,T20,STASK AT 405 MAIN STREET STOCKTON KANSAS.,WILLIAM H ANDRESON CHARITABLE TRUST,JUNE 1,"RESTRICTED TO PLAINVILLE, KANSAS AND ROOKS COUNTY, KANSAS QUALIFYING ENTITIES.",no,
850739358,Confluence Foundation,CO,Golden,T20,GRANT APPLICATION,MAIN OFFICE,,,no,
386043873,Calvin P & Irma B Bentley Charitable Fnd,PA,Pittsburgh,,NO SPECIFIC FORM,PNC BANK NA CO PATSY ALFORD,NONE,NONE,no,
824727563,Louisiana Firefighters Association,MO,Louisiana,M24,The City of Louisiana Fire Department can make application to the Louisiana Firefighters Association in order to purchase equipment and supplies annually,Philip Quattrocchi,June 30,Each application will be considered as to its need.,no,
203966428,Andre Family Foundation Inc,FL,Melbourne,T22,COMPLETION OF THE ANDRE FAMILY FOUNDATION STRUCTURED GRANT APPLICATION FORM,JEANNE M ANDRE,ONGOING,SEC 501(C)(3) ORGANIZATIONS,no,
954307817,Don & Lorraine Freeberg Foundation,CA,Glendale,,NO SPECIFIC FORMAT,DANIEL FREEBERG,SUBMISSION DEADLINE IS DECEMBER 1ST,"RESTRICTED TO CAPITAL IMPROVEMENTS AND PROGRAMS AT ORGANIZATIONS FOCUSED ON EDUCATION, HEALTHCARE, CHILDREN AND VETERANS. LOCATIONS ARE LIMITED TO CA-LA, ORANGE, SAN DIEGO AND SANTA CLARA COUNTIES; GREATER DENVER, CO; GREATER ORLANDO FL AND GREATER MINNEAPOLIS, MN.",no,
912159706,El Leon Literary Arts Inc,CA,Berkeley,A33,,THOMAS FARBER,,,no,
237000776,Harmil Foundation,NJ,Englewd Clfs,,LETTERS,CLARICE MAY JACOBSON,NONE,NONE,no,
203079379,Mucci Family Foundation,NY,Purchase,T20,NO REQUIRED FORM,ROBERT V MUCCI,NONE,NONE,no,
341532416,John A Cable Foundation,IL,Evanston,,NO SPECIFIC FORM; SUBMISSIONS MUST INDICATE 501(C)(3) STATUS,MR PHILIP E CABLE,NO SUBMISSION DEADLINES,GRANTS ARE AWARDED FOR CHARITABLE AND EDUCATIONAL PURPOSES TO QUALIFIED ORGAINZATIONS,no,
311578859,Seby B Jones Family Foundation Inc,NC,Raleigh,T20Z,NO SPECIAL FORM REQUIRED,SEBY RUSSELL JONES,NONE,LIMITED TO USA,no,
521510954,The Gertrude And Israel Freedman Charitable Foundation,MD,Baltimore,,NONE PRESCRIBED,THEODORE GREENBERG,NONE,RECOGNIZED SECTION 501(C)(3) CHARITABLE ORGANIZATIONS ONLY,no,
753171557,Lederhausen Foundation,IL,Chicago,T22,"LETTER FORM IS SUGGESTED, ALTHOUGH NOT REQUIRED, NO SPECIAL MATERIAL REQUIRED",TONYA LEE FOUNDATION OFFICE,NONE,NONE,no,
274621444,Qualcomm Charitable Foundation,CA,San Diego,T21,,QUALCOMM INCORPORATED,,,no,
326080036,The William O Seery Foundation,TX,Dallas,T20,NONE,BANK OF AMERICA CAITLIN ARNOLD,NONE,Payments are to any university medical school or hospital in U.S. for cancer research.,no,
46054087,New Salem Academy,MA,New Salem,,GRANTS - APPLICATION ONLY SCHOLARSHIPS - APPLICATION AND COPY OF CURRENT TRANSSCRIPTS AND/OR SCHOOL TUITION INVOICE,STEVEN BLINDER,GRANTS - NOVEMBER 1 SCHOLARSHIPS - APRIL 1,"GRANTS - UP TO 5,000 BASED ON NEED OF ORGANIZATION SCHOLARSHIPS - 500",no,
367092200,Lange Burk Fund,TX,Dallas,T22Z,NO FORMAL APPLICATION REQUIRED,SRI LAKKARAJU,NONE,NONE,no,
271507283,Harold And Patricia Korell Foundation,TX,Houston,T90,Written request including brochure on organization,Harold Korell,,,no,
570887759,Reedy Acres Foundation,MS,Water Valley,,WRITTEN REQUEST INCLUDING PURPOSE OF THE FUNDS AND ESTIMATED NUMBER OF PEOPLE TO BENEFIT FROM THE GRANT.,LORRI WILLIAMSON,NONE,"GRANTS SHOULD BENEFIT PRIMARILY RESIDENTS OF YALOBUSHA COUNTY, MISSISSIPPI",no,
43236122,Hyde Park Co Operative Charitable Foundation Inc,MA,Hyde Park,T30,N/A - FOUDNATION PREVIOUSLY HAS RAISED FUNDS THROUGH VARIOUS CIVIC EVENTS AND NET PROCEEDS AFTER EXPENSES WERE USED TO PROVIDE FOR OTHER CHARITABLE EFFORTS.,ROBERT NELSON,,,no,
942553806,Nevada Alpha Of Phi Delta Theta Educational Education Foundation,NV,Reno,,PROVIDE DOCUMENTATION SUFFICIENT TO SHOW THE APLICANT MEETS THE RESTRICTIONS ENUMERATED BELOW.,JAMES JEMPSA,"AUGUST 1ST, ANNUALLY","FOR EITHER SCHOLARSHIPS OR LOW-INCOME HOUSING, AN APPLICANT MUST QUALIFY BY DEMONSTRATING THAT HE (1) IS A FULL-TIME STUDENT AT THE UNIVERSITY OF NEVADA, RENO, (2) IS A MEMBER OF THE PHI DELTA THETA FRATERNITY, (3) MAINTAINS A MINIMUM GRADE POINT AVERAGE, AND (4) HAS A FINANCIAL NEED.",no,
356644740,W August Hillenbrand Family Foundation,IN,Batesville,T22Z,NO SPECIFIC FORM,W August Hillenbrand,NO DEADLINES,MUST BE REVIEWED BY THE TRUST ADVISORY COMMITTEE.,no,
260757646,Ansell Zaro Grimm & Aaronfoundation,NJ,Ocean Township,T20,"NO APPLICATION, REQUIRES DETAIL OF PURPOSE OF GRANT AND VERIFICATION OF EXEMPT STATUS OF DONEE.",MICHAEL V BENEDETTO ESQ CO ANSELL G,NONE,NO RESTRICTIONS OR LIMITATIONS ON AWARDS.,no,
386066092,Dykstra Foundation 07582,MI,Bloomfld Hls,,NO SPECIFIC FORM,JOHN M STEELE,NONE,NONE,no,
20615237,No Charge Cards,NY,Nassau,O50,We accept requests by email or phone. No applications are required. We ask requestors to provide information including the organization that will be benefit from the donation age range of the children that will receive cards and total number of children.,Bob Schuman,none,No restrictions in the Albany-Schenectady-Troy-Saratoga county region. Requests are filled outside of this area as long as the recipient is willing to pay for shipping costs.,no,
592128429,Ted Arison Family Found,FL,Aventura,,LETTER OF REQUEST TO FOUNDATION.,SAFO LLC,NONE,NONE,no,
208030196,Douglas & Tonyia Bolton Family Foundation Inc,SC,Hilton Head,T22,UNSPECIFIED,DOUGLAS TONYIA BOLTON,NONE,TO ADVANCE CHARITABLE PURPOSES.,no,
936058111,John H Stevenson Scholarship Trust Nect,NV,Las Vegas,,APPLICATION SHOULD BE SUBMITTED ON FORMS PROVIDED BY OHSU SCHOLARSHIP,OHSU SCHOLARSHIP COMMITTEE,APPLICATIONS MUST BE SUBMITTED BY MARCH 1 OF EACH YEAR,ONLY THOSE SEEKING FINANCING IN THE PURSUIT OF A DOCTORATE OF MEDICINE AT THE HEALTH SCIENCES UNIV,no,
256201015,Arthur W Phillips Trust Uw,PA,Oil City,,APPLY ONLINE AT HTTPS://PHILLIPSCHARITABLETRUST.COMMUNITYFORCE.COM. REQUIRES 501(C)(3) EXEMPTION.,BERTA WINTERS ADMIN ASST,"SPRING SUBMISSION CYCLE, OCTOBER 1 TO JANUARY 31. FALL SUBMISSION CYLCLE, APRIL 1 TO JULY 31.",PREFERENCE GIVEN TO NORTHWEST PENNSYLVANIA. ALSO PREFERRED ARE ORGANIZATIONS HAVING MEDICAL OR EDUCATIONAL PURPOSES.,no,
320262306,Roman David Delgado Charitable Tr,TX,Mcallen,B82,SEE ATTACHED SCHOLARSHIP APPLICATION,TIMOTHY SERS,"March 18, 2022",SEE ATTACHED SCHOLARSHIP APPLICATION,no,
201285450,Warbird Preservation Foundation,IA,Bettendorf,A80,,DAVID MILLS,,,no,
541186114,The Jackson Foundation,VA,Richmond,,NO PRESCRIBED FORM,JILL MCCORMICK,NONE,NONE,no,
861090081,Dannahower Family Foundation Inc,FL,Fort Pierce,T20,"FOUNDATION APPLICATIONS REQUIRE SPECIFIC INFORMATION AS TO THE NEED, THE LOCAL PROVIDERS FOR THE SERVICE, APPLIANCE, ETC., WHO PRESCRIBED OR RECOMMENDED THE ITEM, TREATMENT, ETC., LIST OF OTHER AGENCIES OR PROGRAMS CONTACTED BUT DECLINED TO DO SO AND CURRENT FINANCIAL STATUS OF THE CHILDS GUARDIAN.",LINDA D NUNN,NONE,NONE,no,
526037125,Union Dorcas Society Of Talbot Co,MD,Easton,,WRITTEN LETTER,TALBOT COUNTY DEPARTMENT OF HEALTH,,,no,
237310359,Lind Lawrence Foundation,VA,Glen Allen,,"WRITTEN REQUEST, ENCLOSE LETTER OR BROCHURE, OUTLINING ACTIVITIES.",LEE P MARTIN JR,NONE,NONE,no,
710747091,Olds Foundation,AR,Arkadelphia,T22Z,REQUEST PREPRINTED APPLICATION TO COMPLETE FOR INTERVIEW,GREG AUD,AT LEAST TWO MONTHS PRIOR TO START OF COLLEGE TERMS,NONE,no,
510172567,Hermes Family Foundation,NC,Summerfield,,"LETTER SPECIFYING REASONS FOR APPLICATION (I.E., HOW FUNDS ARE TO BE USED)",GWENDOLYN H SMITH,NONE,ONLY SEC. 501(C)(3) AND SEC. 170(C) ENTITIES ARE CONSIDERED,no,
311643442,Childrens Center Of Ohio Inc,OH,Patriot,O20,,MIKE BURKE,,NONE,no,
223500871,New Jersey Road Runners Youth Foundation Inc,FL,Delray Beach,T70I,Call; or email Mr. Castellano to start a review,NJRRYF,,We prefer supporting children's charities but will entertain any requests.,no,
271562287,Bajaj Family Foundation,CA,Irvine,T22,NO SPECIFIC FORM IS PRESCRIBED. THE APPLICANTS ARE ADVISED TO SUBMIT APPLICATIONS IN THE FORM WHICH PRESENTS THEIR FACTS AND CIRCUMSTANCES IN BEST POSSIBLE WAY.,DEVENDRA BAJAJ,NO DEADLINES FOR SUBMISSION OF APPLICATIONS,"NO RESTRICTIONS OR LIMITATIONS ON AWARDS,GRANTS OR SCHOLARSHIPS",no,
680100302,Silvio And Mary Garaventa Family Foundation,CA,Concord,,"LETTER OF REQUREST, INCLUDING BASIS FOR SUBMISSION",LOUISA BINSWANGER,NONE,NONE,no,
826008205,Family Foundation Inc,ID,Pocatello,,NO SPECIFIC FORMAT,WILLIAM BOHRER,NONE,PREFERENCE GIVEN TO EDUCATIONAL INSTITUTIONS AND CHARITIES,no,
431116987,Frank G & Florence V Bohle Scholarship Foundation,MO,Saint Louis,,Letter and program to be benefited,ELIZABETH V SHANDS,NONE,NONE,no,
311466884,Kenneth A Lattman Foundation Inc,WI,Madison,T90Z,LETTER STATING PURPOSE IN DETAIL,ELLIOTT ABRAMSON,NO,NO,no,
381360595,Young Womans Home Association Of Detroit,MI,Grosse Pt Frm,,SEE GRANT APPLICATION ON ORGANIZATION'S WEBSITE,MEREDITH TOMATORE OR DEBORAH SAVOIE,FIRST-TIME APPLICANT: AUGUST 1; RETURNING APPLICANT: SEPTEMBER 1,GRANTS MUST BE USED TO BENEFIT WOMEN AND/OR CHILDREN IN THE STATE OF MICHIGAN.,no,
656085406,Gertrude E Skelly Charitable Foundation,FL,Orlando,,Submit on organizations letterhead the details of the organizations purpose and function and the methods utilized to accomplish the objectives.,GE Skelly Foundation,June 30th of each year,Awards are granted only to qualified charitable organizations that directly provide services or scholarships.,no,
316055767,Thomas J Evans Fdn,OH,Newark,,THE FORM OF APPLICATION IS NOT PRESCRIBED,THE TRUSTEES CO SARAH R WALLACE,THERE ARE NO SUBMISSION DEADLINES,"QUALIFIED 501(C)(3) CHARITABLE INSTITUTIONS, PUBLIC INSTITUTIONS AND GOVERNMENT ENTITIES IN THE LICKING COUNTY OHIO AREA",no,
270175925,Kenneth And Barbara Wolff Foundation,OH,Medina,T23,"ANY FORM, REASON FOR REQUEST",ROBERT J BUX,NO DEADLINES,"MEDINA AND WAYNE COUNTIES, OHIO",no,
256494298,Judith Peale Strattan Memorial,PA,Clearfield,B82B,A completed scholarship application; minimum 100 word essay; letters of recommendation and high school and/or college transcript.,Clearfield Education Foundation,December 15 each year,Only students who attend the Clearfield PA Campus of Lock Haven University and have graduated from a Clearfield County PA high school or are a current resident of Clearfield County are eligible.,no,
586331063,W T Anderson Trust Uw 7,TX,Dallas,T00Z,WRITTEN REQUEST,BANK OF AMERICA,Grants should be submitted between August 1 and August 31 each year.,Limited to Section 501(c)(3) organizations that are NOT private foundations.,no,
721191792,Angel Wings Foundation,LA,Metairie,,"APPLICATION FOR GRANTS SHOULD BE SUBMITTED IN THE FORM OF A LETTER ADDRESSED TO THE BOARD OF THE FOUNDATION. THE LETTER MUST INCLUDE: 1. THE AMOUNT OF GRANT REQUESTED, 2. A STATEMENT OF HOW THE GRANT WILL BE USED, 3. A STATEMENT OF THE BENEFITS TO BE DERIVED FROM SUCH A GRANT, 4. A STATEMENT OF NEED, AND 5. A STATEMENT VERIFYING THE APPLICANT'S 501 (C) STATUS. OTHER DOCUMENTS, SUCH AS A BRIEF HISTORY OF THE APPLICANT'S ORGANIZATION, STATISTICAL INFORMATION, ETC. MAY BE SUBMITTED WITH THE REQUEST.",CO CINDY PAULIN,NONE,NONE,no,
465315193,In Between Days Foundation Inc,UT,Draper,T23,,CURTIS DOMAN,,,no,
222325485,H Schaffer Foundation Inc,NY,Saratoga Spgs,,NO FORMAL APPLICATION NECESSARY; ONLY A GENERAL LETTER OF REQUEST,MS SONYA A STALL,NONE,NONE,no,
521486929,The A C And Penney Hubbard Foundation Inc,MD,Baltimore,,LETTER TO ABOVE,AC HUBBARD,NONE,NONE,no,
621715632,Bright Martin Corporation,TN,Chattanooga,T30Z,NO PRESCRIBED FORM,GEORGE T BRIGHT FLETCHER BRIGHT COM,NONE,CONTRIBUTION LIMITED TO A QUALIFIED 501(C) ORGANIZATION,no,
136117975,Lubin Foundation Inc,AZ,Tucson,,IN WRITING WITH A DESCRIPTION OF THE FUNCTIONS OF THE ORGANIZATION,STEPHEN R LUBIN,NO DEADLINES,CONTRIBUTIONS MUST BE FULLY TAX DEDUCTIBLE AND ONLY FOR EDUCATIONAL RELIGIOUS OR MEDICAL INSTITUTUIONS,no,
263747928,M & M Family Foundation,NY,Brooklyn,T20,"LETTERS; PURPOSE OF ORGANIZATION, AND USE OF FUNDS",MEILECH LEVY,NONE,"THE ORGANIZATION INTENDS TO FURTHER ORTHODOX JEWISH RELIGIOUS PURPOSES BY MAKING CONTRIBUTIONS TO PUBLIC JEWISH CHARITIES, EDUCATIONAL ORGANIZATIONS, AND PLACES OF WORSHIP, THAT FURTHER SUCH PURPOSES. THE ORGANIZATION WILL NOT DISTRIBUTE ITS FUNDS TO INDIVIDUALS.",no,
844974852,Georgia Orthopedic Society Foundation,GA,Peachtree Cty,B03,APPLICATIONS FOR FINANCIAL ASSISTANCE SHOULD BE COMPLETED AT: HTTPS://WWW.GOS-FOUNDATION.ORG/RESIDENT-RESEARCH-FUNDING- APPLICATION,LIZ NEARY,,,no,
363504495,Elliott Hemingford Scholarship Foundation Inc,NE,Alliance,,"FORMAL APPLICATION, RECOMMENDATIONS, SCHOLASTIC STANDING, NEED",SAMANTHA GILKERSON,JUNE 15 (SEE COPY OF INFORMATION PROVIDED),MUST BE HEMINGFORD HIGH SCHOOL GRADUATES,no,
475143027,Hippocrates Oath Oregon Foundation,OR,Portland,B80,"NAME, ADDRESS, PROGRAM YEAR IN MEDICAL SCHOOL PROGRAM",EDWARD GROSSENBACHER,END OF SCHOOL YEAR FOR NEXT SCHOOL YEAR,APPLICANTS MUST BE ENROLLED AS A MEDICAL STUDENT AT OHSU,no,
205692339,Penland Foundation,TX,Beaumont,T20,"NO SPECIFIC PRESCRIBED FORM IS REQUIRED AND INVESTIGATION IS MADE ON A CASE BY CASE BASIS TO DETERMINE SPECIFIC NEEDS OF THE CHARITY AND IS APPROVED BY THE BOARD, PURSUANT TO THE IRS CODE SEC. 170(C)(2) AND SEC. (501)(C)(3)",JOE PENLAND SR,THERE ARE NOT SUBMISSION DEADLINES.,THERE ARE NOT RESTRICTIONS OR LIMITATIONS ON AWARDS.,no,
256037592,Indiana Kiwanis Club Foundation,PA,Indiana,,"WE CONSIDER REQUESTS FROM COMMUNITY AGENCIES IN VARIOUS FORMATS, INCLUDING LETTERS. WE REQUEST THAT THEY PROVIDE US ADDRESS, PURPOSE OF FUNDS REQUESTED, CHARITABLE ORGANIZATION STATUS. WE ASK FOR INFORMATION AS TO WHETHER THE FUNDS REQUESTED WILL BENEFIT YOUNG CHILDREN, AS THAT IS A PRIORITY OF KIWANIS.",BRUCE JENKINS,"SCHOLARSHIP REQUEST DEADLINES ARE BY APRIL OF EACH YEAR, OTHERWISE, FUNDS APPLICATIONS ARE ACCEPTED","WHILE WE HAVE PRIORITIES (YOUNG CHILDREN, LOCAL AREA CHARITIES) WE HAVE NO RESTRICTIONS ON GRANT REQUESTS.",no,
721351380,Marian Gaynor Yanamura Educational Fund Inc,AL,Fairhope,T20Z,APPLICATION FORMS ARE PROVIDED AT TWO ELIGIBLE HIGH SCHOOLS,C O MCCAWLEY JR,"YES - VARIES, BUT ALWAYS A MONDAY IN LATE MARCH",TWO PUBLIC HIGH SCHOOLS - FAIRHOPE AND DAPHNE - ONLY,no,
452544512,Conor Lynch Foundation,CA,Sherman Oaks,T20,,CONOR LYNCH FOUNDATION,,,no,
42104266,Guild Of Boston Artists Inc,MA,Boston,,STANDARD WITH SPECIFIC REQUEST INCLUDING BUDGET,ALEX CIESIELKI,NONE,SUBJECT TO THE SPIRIT OF THE MISSION STATEMENT OF THE GUILD OF BOSTON ARTISTS,no,
201947794,Deshpande Family Foundation Inc,FL,Orlando,T20,,ANIL DESHPANDE,,,no,
561896083,Rising Foundation Inc,IL,Spring Grove,,NO SPECIFIC REQUIREMENTS,WALTER RISING,NONE,NONE,no,
232909032,M I Ali Foundation Inc,PA,New Castle,T20Z,EDUCATIONAL OPPORTUNITIES FOR FOREIGN MEDICAL STUDENTS,M I ALI,DECEMBER 31,FOREIGN STUDENTS WISHING TO ENTER THE MEDICAL FIELD,no,
571139596,Ronald And Vicki Canakaris Family Foundation Inc,GA,Atlanta,X21,No Specific form required.,Ronald E Canakaris,,,no,
391577137,Green Bay Packers Foundation,WI,Green Bay,,APPLICATION IS AVAILABLE ONLINE DURING THE APPLICATION PERIOD OF MAY 1 TO JULY 1.,BOBBI JO EISENREICH SECRETARY - GRE,JULY 1 OF EACH YEAR,THE ORGANIZATION MUST BE A RECOGNIZED NON-PROFIT FOR A MINIMUM OF TWO YEARS AND BE LOCATED IN THE STATE OF WISCONSIN.,no,
226374659,Chatham Beech Charitable Foundation,CT,South Windsor,,"THERE IS NO SPECIFIC FORM ON WHICH APPLICATIONS SHOULD BE MADE, HOWEVER, ALL APPLICATIONS SHOULD PROVIDE SUBSTANTIATION THAT THE ORGANIZATION IS A CHARITABLE ORGANIZATION AS DEFINED IN IRC CODE SECTION 170(C), 2055(A) AND 2522(A).",BENJAMIN WALLACE,THERE ARE NO SUBMISSION DEADLINES,"THE CHATHAM-BEECH FOUNDATION MAKES CONTRIBUTIONS TO CHARITABLE ORGANIZATIONS DULY AUTHORIZED TO CARRY ON ACTIVITIES FOR SUCH PURPOSES WHICH ARE DESCRIBED IN IRS CODE SECTION 170(C), 2055(A) AND 2522(A) AND THEREFORE, HAVE NO RESTRICTIONS ON THEIR CONTRIBUTIONS. THE FOUNDATION DOES GIVE PREFERENCE TO ORGANIZATIONS HAVING AN OFFICE WITHIN THE COMMONWEALTH OF MASSACHUSETTS.",no,
351557058,Boren Foundation Inc,IN,Upland,,TYPED REQUEST DETAILING THE INTENDED USE OF THE FUNDS REQUESTED.,SALLY BRINER,DEADLINES FOR SUBMISSIONS ARE MARCH 31 AND AUGUST 31,PRIMARILY EDUCATIONAL PURSUITS IN CENTRAL INDIANA.,no,
941657684,William Saroyan Foundation,CA,San Francisco,,"WRITTEN REQUEST, INCLUDE DONEE 501(C)STATUS",BETTY RODRIGUEZ,NONE,LIMITED TO 501 (C) CHARITIES,no,
581966769,American Saddle Horse Breeders Futurity Of The Carolinas Inc,NC,N Wilkesboro,D99,APPLICATION ON WEBSITE,ALICE BRINKLEY,SUBMISSION DEADLINES ON WEBSITE,NONE,no,
237246964,John Steele Zink Foundation,OK,Broken Arrow,,REQUESTS MAY BE VERBAL OR WRITTEN AND SHOULD INCLUDE THE PURPOSE OF THE REQUEST.,TAMERA SHEAFFER,WRITTEN - ANY TIME. VERBAL - PRESENTED TO BRD OF TRUSTEES,ONLY ORGANIZATIONS ENTITLED TO EXEMPTION UNDER IRS SEC. 501(C)(3) AND THOSE QUALIFYING AS PUBLIC CHARITIES UNDER OKLAHOMA LAW.,no,
330555611,Berneice U Lynn Foundation,CA,Carlsbad,,Forms and Instructions are found at www.LynnFoundation.net,Berneice U Lynn Foundation,Variable. See instructions at www.LynnFoundation.net,Resident or Student of or local to CA High Desert,no,
510186261,Igloo No 4 Foundation,AK,Fairbanks,B82,"WRITTEN, SPECIFIC PURPOSE, DATE NEEDED",IGLOO NO 4 FOUNDATION,NONE,"ELIGIBILITY IS LIMITED TO THOSE APPLICANTS WHO HAVE AT LEAST ONE PARENT, GRANDPARENT, OR GREAT-GRANDPARENT WHO ARE OR HAVE BEEN A MEMBER OF IGLOO 4 PIONEERS OF ALASKA OR IGLOO 8 PIONEERS OF ALASKA. SPOUSES, CHILDREN, GRANDCHILDREN, GREAT-GRANDCHILDREN OF CURRENT BOARD MEMBERS AND OFFICERS ARE INELIGIBLE.",no,
137117757,S&P Margareton Fam Foundation Tr,NY,Monsey,T20Z,NO FORM,GEORGE MARGARETEN,NO DEADLINE,NO RESTRICTIONS,no,
866057249,Donald Pitt Family Foundation,AZ,Tucson,,NO SPECIAL FORM,TOM POWERS,NONE,NONE,no,
465015070,Skyline Mountain Bike Team Inc,UT,Salt Lake Cty,N50,WRITTEN REQUESTS,JAMI HANSEN,OPEN,NONE,no,
356564249,Gaylord L Jackson Scholarship Fund,PA,Pittsburgh,,APPLICATION PROVIDED UPON REQUEST,ALEXIS LUNDEEN,NONE,"AWARDS ARE LIMITED TO GRADUATING STUDENTS OF CHURUBUSCO HIGH SCHOOL, CHURUBUSCO, IN WHO ARE IN THE TOP 5% OF THEIR CLASS",no,
990281956,Robert And Betty Wo Foundation,HI,Honolulu,,NO SPECIFIED FORM AT PRESENT,CO FOUNDATION BOARD OF DIRECTORS,NONE AT PRESENT,"EDUCATIONAL, LITERARY, RELIGIOUS OR SCIENTIFIC PROGRAMS OR CHARITABLE WORK QUALIFYING UNDER IRC 501(C)(3)",no,
561678118,The Marc And Mattye Silverman Family Foundation,NC,Charlotte,,"THERE IS NO FORMAL APPLICATION PROCESS. WRITTEN REQUESTS ARE ACCEPTED. MOST DISCRETIONARY DONATIONS ARE GIVEN PRIMARILY IN MECKLENBURG COUNTY IN CHARLOTTE, NORTH CAROLINA WITH AN EMPHASIS ON JEWISH, MEDICAL AND COMMUNITY HUMAN SERVICE AND ARTISTIC NEEDS.",MATTYE SILVERMAN,NONE,NONE,no,
462590217,Hollingsworth Logistics Group Foundation,MI,Dearborn,T20,"ELECTRONICALLY, INFORMATION REQUIRED ON THE APPLICATION.",GAYLENE PAGE,NONE,BASED ON FUNDS AVAILABLE,no,
364110761,Fred & Jean Allegretti Foundation Inc,FL,Fort Myers,T99Z,PROPOSAL FORMAT,KAREN ALLEGRETTI,,,no,
956060222,Southern California Association Of Occupational Health Nurses,CA,Carlsbad,B03,Submit on expense report received when funds requested,Gail King,none,Must be member of original SCAOHN board,no,
203003904,Saving Children Building Families Inc,NY,Bayport,P31,A LETTER REQUESTING ADOPTION ASSISTANCE SHOULD BE SUMBITTED DETAILING YOUR SITUATION AND FINANCIAL NEED.,PATRICK PREECE,,,no,
520794431,Anthony & Anna L Carozza Foundation,DC,Washington,,"REQUESTS MAY BE SENT BY NORMAL POSTAL SERVICE OR EMAIL. THE LETTER SHOULD STATE THE GOALS OF THE REQUESTING ORGANIZATION, ALONG WITH A OVERVIEW OF THE COSTS AND EXPECTED SOURCES OF FUNDING FOR THAT PROGRAM, IRS DETERMINATION LETTER, A CONTACT PERSON AND DESCRIPTION OF THE PROGRAM FOR WHICH FUNDS ARE BEING REQUESTED. PROGRAM, IRS DETERMINATION LETTER, A CONTACT PERSON AND DESCRIPTION OF THE PROGRAM FOR WHICH FUNDS ARE BEING REQUESTED.",MARIA C VOLPE,Requests should be received by February 1st.,"THE MAJORITY OF GRANTS ARE AWARDED TO ORGANIZATIONS IN THE WASHINGTON, DC AREA AND PRINCE GEORGE'S COUNTY IN MARYLAND",no,
