EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
821959604,N/A,CATHERINE CONCANNON,,,no,N/A
260215481,ORAL OR WRITTEN REQUESTS - VERIFICATION OF 501(C)(3) STATUS,ALLISON CAPLINGER,NONE,NONE OTHER THAN THE ENTITY MUST BE EXEMPT UNDER 501(C)(3),no,N/A
356586275,THROUGH GUIDANCE COUNSELOR AT CONNERSVILLE HIGH SCHOOL,SHANNA MAYBERRY,JUNE 30TH,RESTRICTED TO STUDENTS WHO RESIDE IN FAYETTE COUNTY AND ARE SEEKING EDUCATION BEYOND HIGH SCHOOL,no,N/A
541483271,N/A,ROBERT A S WRIGHT,N/A,LIMITED TO RESEARCH ON FLORA IN THE COMMONWEALTH OF VIRGINIA,no,N/A
850319081,DETAILED APPLICATION AVAILABE UPON REQUEST MUST BE ATTENDING OR ENROLLED AT AN ACCREDITED UNIVERSITY,VIVIEN HEAD TRUST CO WELLS FARGO B,SCHOLARSHIP AWARDED ONCE ANNUALLY,"ONE SCHOLARSHIP AWARDED TO A STUDENT MAJORING IN ELECTRICAL ENGINERING. ONE AWARDED TO A STUDENT MAJORING IN ART,MUSIC OR THEATER GRANTED BASED ON FINANCIAL NEED, GPA, AND LETTERS OF RECOMMENDATION",no,N/A
232828303,N/A,Richard Castafaro,,,no,N/A
750808801,"INITIALLY, A LETTER REQUEST DESCRIBING THE ORGANIZATION, WORK AND EXPECTED RESULTS TO BE ACHIEVED FROM THE GRANT MUST BE SUBMITTED.",RONALD ROBBINS,NONE,NONE,no,N/A
436065281,"ORAL OR WRITTEN, INCLUDING EDUCATIONAL INTENTION & INCOME OF APPLICANT.",MIKE ZECH CO NODAWAY VALLEY BANK,NONE,"MUST BE A GRADUATE OF A NODAWAY COUNTY, MISSOURI ACCREDITED HIGH SCHOOL, GOING ON TO HIGHER EDUCATION.",no,N/A
760455526,DETAILED DESCRIPTION OF ORGANIZATION AND ITS PURPOSE,MRS CYNTHIA R PRENTICE,NONE,LIMITED TO PURPOSE OF PROVIDING CARE TO ANIMALS,no,N/A
030463941,LETTER STATING PURPOSE OF SOLICITATION & ANY APPLICABLE BROCHURES,ARTHUR MEISELS,NONE,NONE,no,N/A
316225986,LETTER DESCRIBING REASON AMOUNT FOR STAY-AT-HOME,LCNB NATIONAL BANK TRUST DEPT,NONE FOR STAY-AT-HOME AUGUST 30 FOR ALL OTHERS,"POLICE FIRE FOR WARREN COUNTY STRONG PREFERENCE FOR ALL AWARDS TO WARREN COUNTY, OH",no,N/A
916565832,"APPLICATION FORM, FINANCIAL INFORMATION",WELLS FARGO BANK PO BOX,APRIL 1 OF EACH YEAR,"STUDENTS RESIDING IN BELLUVUE, IDAHO",no,N/A
396075718,"REQUESTS ARE MADE THROUGH WISCONSIN MASONIC MEMBERSHIP. A LETTER, PHONE CALL OR EMAIL IS ACCEPTABLE. NO SPECIFIC CONTENT REQUESTED.",KNIGHT TEMPLAR FOUNDATION OF WI,THERE ARE NO SUBMISSION DEADLINES.,"CASE BY CASE AS DECIDED BY BOARD, IF ANY.",no,N/A
237418083,"APPLICATIONS FOR SCHOLARSHIPS BY ELIGIBLE APPLICANTS ARE SUBMITTED THROUGH THE APPLICATION PORTAL ON THE WEBSITE OF SCHOLARSHIP AMERICA (HTTPS://SCHOLARSHIPAMERICA.ORG/). APPLICANTS MUST FILL OUT THE ONLINE APPLICATION AND INCLUDE FINANCIAL INFORMATION, A CURRENT, COMPLETE TRANSCRIPT OF THE STUDENT'S GRADES, AND ONE ONLINE RECOMMENDATION FORM SUBMITTED ON THE STUDENT'S BEHALF.",SCHOLARSHIP AMERICA,"THE SUBMISSION DEADLINE IS HISTORICALLY IN MARCH, BUT CIRCUMSTANCES MAY CAUSE THE DEADLINE TO BE EXT","THE AMERICAN ELECTRIC POWER SYSTEM EDUCATIONAL TRUST FUND AWARDS SCHOLARSHIPS TO ELIGIBLE CHILDREN OF EMPLOYEES OF AMERICAN ELECTRIC POWER AND ITS SUBSIDIARIES. APPLICANTS MUST BE SENIORS IN HIGH SCHOOL WHO ARE PLANNING TO PURSUE A BACCALAUREATE DEGREE FROM AN ACCREDITED UNIVERSITY. STUDENTS WHO RECEIVE FULL SCHOLARSHIP AWARDS FROM OTHER SOURCES OR WHO RECEIVE APPOINTMENTS TO ONE OF THE SERVICE ACADEMIES ARE NOT ELIGIBLE TO PARTICIPATE IN THIS PROGRAM. A CHILD OF A MEMBER OF THE BOARD OF DIRECTORS OF ANY OF THE AMERICAN ELECTRIC POWER SYSTEM COMPANIES (AT THE TIME OF THE AWARD) IS NOT ELIGIBLE TO RECEIVE AN AWARD. THE GRANTS ARE MADE ON AN OBJECTIVE AND NONDISCRIMINATORY BASIS PURSUANT TO A PROCEDURE APPROVED BY THE IRS IN A LETTER DATED MARCH 12, 1973.",no,N/A
311038789,NONE,JASPER HIGH SCHOOL - BOARD MEMBERS,APRIL 15,"50% MEDICAL, 50% NON-MEDICAL; NO MORE THAN ONE RECIPIENT FROM SAME CHURCH AFFILIATION, PRE-SELECTED FIELDS; GRADUATE OF HIGH SCHOOL LOCATED IN DUBOIS COUNTY, INDIANA",no,N/A
916575779,CONTACT ABOVE,SPARKS HIGH SCHOOL,CONTACT ABOVE,"APPLICANTS MUST BE SENIORS GRADUATING FROM SPARKS HIGH SCHOOL IN SPARKS, NEVADA.",no,N/A
466257964,LETTER OF INQUIRY,JILL FORBES US BANK NA,CONTACT THE ABOVE,PROVIDING EXCLUSIVELY FOR CHILDREN'S HEALTH CARE NEEDS,no,N/A
475581127,"THE FOUNDATION WAS ESTABLISHED TO REMEMBER SAM BARGA WHO LOST HIS LIFE IN AN AUTOMOBILE ACCIDENT. SAM WAS AN EMPLOYEE OF BARGA HEATING AND AIR OF GREENVILLE OH. THE FOUNDATION WAS ESTABLISHED TO PROMOTE EDUCATION, WITH AN EMPHASIS WITHIN THE HVAC INDUSTRY. APPLICATIONS ARE PROVIDED TO LOCAL HIGH SCHOOL GUIDANCE COUNSELORS ALONG WITH TECHNICAL SCHOOLS FOR INTERESTED STUDENTS TO APPLY. ALSO, NOTICES ARE PLACED IN LOCAL PAPERS ANNUALLY NOTIFYING THEM OF THE SCHLORSHIP.",LINDA BARGA,INCLUDED IN THE ANNUAL NOTICE,DARKE COUNTY OH SENIORS PURSUING AN HVAC EDUCATION.,no,N/A
460469481,LETTER OF NO MORE THAN THREE PAGES WITH APPROPRIATE ATTACHMENTS,SHERRY M SAVAGE,JANUARY 31 AND JULY 31 OF EACH YEAR,GRANTS RESTRICTED TO CHARITABLE ORGANIZATIONS IN LIVINGSTON COUNTY MISSOURI,no,N/A
736210018,ONLINE APPLICATION,OKLAHOMA STATE UNIV COLLEGE OF AR,FEBRUARY 1,OSU FINE ARTS GRADUATE STUDENTS ONLY,no,N/A
046246000,N/A,MARY M ZAREMBA,N/A,N/A,no,N/A
541726783,LETTER STATING AMOUNT REQUESTED AND THE PURPOSE FOR WHICH IT WILL BE USED,JOE COBBE,"APPLICATIONS ACCEPTED ANYTIME;APPROVAL, REJECTION, OR REQUEST FOR MORE INFORMATION WITHIN TWO MONTHS",N/A,no,N/A
810765617,The Foundation does not use an application form.,Lawrence Schliessmann,None,No.,no,N/A
591851950,APPLICATIONS SHOULD BE VERY CLEAR AND CONCISE CONCERNING THE REQUEST. THE INFORMATION MUST BE TYPED WITH ALL APPLICABLE MATERIAL SUBMITTED WITH THE REQUEST.,ROBERT J FREDRIKSON,NO SUBMISSION DEADLINES,GEOGRAPHICAL RESTRICTIONS - FLORIDA FIELD RESTRICTIONS - EDUCATIONAL & MEDICAL RESEARCH,no,N/A
742254030,AVAILABLE AT WELLS FARGO WEALTH MANAGEMENT GROUP,WELLS FARGO WEALTH MANAGEMENT GROUP,NONE,GEOGRAPHICAL BOULDER COUNTY COLORADO,no,N/A
956744150,"APPLICATION AVAILABLE IN SCHOOL OFFICE, 300 WORD ESSAY REGARDING ACTIVITIES, HONORS, CITIZENSHIP AND COMMUNITY SERVICE. HIGH SCHOOL TRANSCRIPTS.",TINA TOAST,APRIL 1 ANNUALLY,MAJOR IN AGRICULTURE; ATTEND COLLEGE THAT IS DESIGNATED AS AGRICULTURE SCHOOL,no,N/A
136160989,LETTER FORM/INFO RELATING TO CHARITY,M KIRSCH,N/A,N/A,no,N/A
351588132,WRITTEN REQUEST STATING PURPOSE OF CONTRIBUTION,ANDREW KREMPP,NONE,NONE,no,N/A
426371803,GRANT APPLICATIONS PROVIDED BY TRUSTEE,JARED KOCH,MAY 1ST,"THE BRUMMER-STILES-DUNCAN SCHOLARSHIP FUND WILL MAKE SCHOLARSHIP GRANTS FOR THE BENEFIT OF GRADUATES OF ANY HIGH SCHOOL IN THE COUNTY OF CHEROKEE, IOWA, FOR THE PURPOSE OF ENABLING SUCH GRADUATES TO ATTEND A JUNIOR COLLEGE, COLLEGE, UNIVERSITY OR SIMILAR INSTITUTION OF HIGHER LEARNING. THE RECIPIENTS OF BENEFITS AND THE AMOUNTS PAID SHALL BE DETERMINED BY A SELECTION COMMITTEE. THE SELECTION COMMITTEE IS TO DETERMINE IN THEIR SOLE JUDGMENT AND DISCRETION WHICH APPLICANTS APTITUDE AND CIRCUMSTANCES ARE OF FINANCIAL NEED. THE COMMITTEE IS NOT TO BE DISCRIMINATE AGAINST OR IN FAVOR OF POTENTIAL BENEFICIARY ON THE BASIS OF RACE, RELIGION, CREED, COLOR, OR SEX.",no,N/A
226026000,LETTER FORM,THOMAS BLOCK,NONE,NONE,no,N/A
261572332,"DESCRIPTION OF CHARITY'S PURPOSE, ACTIVITIES AND IDENTIFICATION NUMBER",THE A AND S WELLS CHARITABLE FOUND,N/A,N/A,no,N/A
232990891,COPY OF APPLICATION ATTACHED,EPHRATA NATIONAL BANK,NONE,SCHOLARSHIPS WILL ONLY BE AWARDED TO GRADUATING SENIORS OF EPHRATA AREA HIGH SCHOOL.,no,N/A
236407437,N/A,,,EDUCATIONAL AWARDS FOR SCHOOL,no,N/A
271046875,"Application Form 2 letters of recommendation summary of school & extracurricular activities 1-2 page essay titled ""My Life Plan"" official school transcript or a GED certification & identify how they are related to Ludwig Wysong who died in 1784",Robert DeWelt,April,None,no,N/A
853825368,N/A,AMERICAN RED CROSS,,,no,N/A
593411693,"FOR SCHOLARSHIP APPLICANTS, A BIOGRAPHICAL OUTLINE IS REQUESTED. A SCHOLASTIC HISTORY, THE NEED FOR THE SCHOLARSHIP, AND THE AMOUNT REQUESTED. WHAT THE APPLICANT PLANS TO DO IN COLLEGE, THE FIELD OF STUDY, AND THE REASON THEY WANT TO ATTEND COLLEGE. DOES THE APPLICANT HAVE OTHER SOURCES OF FUNDS? IF SO, HOW MUCH?",ELLA AUSTIN,NO SUBMISSION DEADLINES.,THERE ARE NO RESTRICTIONS OR LIMITATIONS.,no,N/A
205804684,COMPLETED APPLICATION AND A LETTER INCLUDING DESCRIPTION AND NEEDS OF THE ORGANIZATION.,KIMBERLY MADSEN,N/A,MOST NEW GRANTS AWARDED RELATE TO IMPROVING K-12 EDUCATION.,no,N/A
872923979,EMAIL,RANDY J SIMON,SEPTEMBER 30,NONE,no,N/A
233035225,"THE ALLERTON FOUNDATION ONLY CONSIDERS REQUESTS FROM QUALIFIED TAX-EXEMPT, NONPROFIT 501(C)(3) ORGANIZATIONS. FUNDING DECISIONS FOR THE ALLERTON FOUNDATION ARE GENERALLY MADE TWICE A YEAR AT BOARD MEETINGS CONDUCTED IN THE FALL (NOVEMBER OR DECEMBER) AND SPRING (APRIL OR MAY). IN ORDER TO APPLY FOR GRANT CONSIDERATION, PLEASE SUBMIT A SHORT LETTER AT ANY TIME THAT INCLUDES THE FOLLOWING: * DESCRIPTION OF THE ORGANIZATION AND ITS MISSION * AMOUNT REQUESTED FROM THE FOUNDATION AND PURPOSE * IF REQUESTING FUNDS FOR A SPECIFIC PROGRAM OR PROJECT, THE TOTAL AMOUNT NEEDED FOR THE PROGRAM OR PROJECT * THE ORGANIZATION'S TOTAL REVENUE AND EXPENSES FOR THE MOST RECENT FISCAL YEAR * THE ORGANIZATION'S FEDERAL EMPLOYER IDENTIFICATION NUMBER (EIN) * A COPY OF THE ORGANIZATION'S IRS DETERMINATION LETTER CONFIRMING 501(C)(3) STATUS",THE ALLERTON FOUNDATION CO VERITABL,NONE,"THE ALLERTON FOUNDATION IS PRIMARILY INTERESTED IN ANIMAL WELFARE AND LAND CONSERVATION TO PRESERVE ANIMAL HABITAT. THE FOUNDATION HAS DECIDED TO LIMIT ITS ANIMAL WELFARE AND ANIMAL HABITAT CONSERVATION SUPPORT TO ORGANIZATIONS THAT ARE LOCATED IN AND/OR DO SUBSTANTIAL WORK IN PHILADELPHIA OR ITS SUBURBS. GRANTS ARE OCCASSIONALLY MADE TO CHARITIES THAT SUPPORT OTHER CAUSES, BUT ON A VERY SELECTIVE BASIS.",no,N/A
016166206,"In letter form, from approved 501c3 organizations only.",Trustee of H Dudley Charit Fnd,None,"Grants are generally limited to 5,000 or less",no,N/A
636077959,WWW.CSASCHOLARS.ORG,CENTER FOR SCHOLARSHIP ADMIN,MARCH 1ST ANNUALLY,"HIGH SCHOOL SENIORS IN CALHOUN COUNTY, AL",no,N/A
860194715,"Provide college scholarships for local youth, main emphasis on agricultural educational majors, tradeschools and financial need",Betty Barr,Spring & Fall,Priority given Santa Cruz County residents,no,N/A
133354188,"EACH STUDENT MUST COMPLETE AND SUBMIT AN APPLICATION. EACH APPPLICATION MUST CONTAIN INFORMATION WHICH WILL ALLOW THE TRUSTEES TO MAKE AWARDS TO STUDENTS WHO DEMONSTRATE: 1. GOOD ACADEMIC PERFORMANCE - WORKS TO HIS OR HER ABILITIES - GOOD CLASS STANDING, BUT NOT NECESSARILY TOPS IN HIS OR HER CLASS. 2. FINANCIAL NEED - (CONSIDERATION GIVEN TO) FAMILY HELP: OTHERS IN FAMILY CURRENTLY IN COLLEGE - ABILITY OF STUDENT TO SELF HELP: SUMMER JOBS AND STUDENT LOANS. 3. SELECTION OF COLLEGE - DOES STUDENT HAVE A DEFINITE CAREER SELECTED VS. ""JUST GOING TO COLLEGE"" - DOES COLLEGE SELECTION AND CHOICE OF DEGREE MATCH UP TO HIS OR HER SCHOLASTIC ABILITIES? AWARD IS FOR ONE YEAR ONLY.",TRUSTEES OF THE SPAIN SCHOLARSHIP,EACH YEAR THE PRINCIPAL OF THE SCHOOL IS CONTACTED BY THE PRESIDENT OF THE BOARD OF TRUSTEES AND A D,"THE SCHOLARSHIP BENEFIT IS A GIFT TO THE STUDENT TO BE USED EACH YEAR FOR TUITION AND OTHER EXPENSES FOR EDUCATION AS IS DEEMED NECESSARY BY THE TRUSTEES. THE AMOUNT TO BE DISTRIBUTED IS LEFT TO THE DISCRETION OF THE TRUSTEES AND IS TO BE GIVEN TO WORTHY OR NEEDY STUDENTS OF ST MARY'S ACADEMY, GLENS FALLS, NY OR TO A STUDENT FROM SOME OTHER SCHOOL IN THE SAME LOCALITY IF THE TRUSTEES SEE FIT. THE SCHOLARSHIPS ARE TO BE PROVIDED FROM THE INCOME EARNED FROM THE TRUST.",no,N/A
043353896,"Organizations recognized under IRS code section 501(c)(3) must provide a copy of their determination letter with their application or grant proposal. Applications can be submitted online at: https://www.bangor.com/community/foundation Potential applicants must submit a completed grant application, describe the initiative seeking support. Prior applicants may reapply one year from the date of prior submission. Decisions and funding are generally announced within 45-75 days of each application deadline.",Program Officer The Bangor Savings,"Applications for due by January 1, April 1, July 1, or October 1 to be valid for consideration.","The Foundation considers applications for grants ranging from $2,000 up to $25,000. The Foundation has a preference to support projects and initiatives that do the following: (i) Include a strategy for leveraging other resources; (ii) Produce cost-effective results which can be measured; (iii) Provide incentive for community problem solving; (iv) Encourage coordination with other efforts and do not duplicate programs; (v) Advance strategies that will address recognized needs; and (vi) Demonstrate an ability to obtain future funding. Grant awards are generally limited to the market area served by Bangor Savings Bank. Grant recipients must demonstrate 501(c)(3) status, and need for private financial support. The Foundation does not provide support for political purposes, and generally does not support annual endowments, scholarships, conferences, or budgets.",no,N/A
830914177,"GRADUATES OF COMMERCE HIGH SCHOOL, COMMERCE, OK CURRENT GRADUATION YEAR, NAMES, GRAD DATES, GRADES, ADDRESSES, STATUS",COMMERCE PUBLIC SCHOOL,JANUARY 1,TYPICALLY LIMITED TO INTEREST ON CORPUS,no,N/A
566583004,N/A,ROBERT E GRAHAM JR,,,no,N/A
760370782,There is no standard request form required by the foundation. All applications for assistance requests are submitted by either email or written request to Stephanie Harrison.,The Zimmer Family Foundation,No deadline date required,"Only restriction is the applicant must located either in Houston, TX, Colorado or the Bay Area in California.",no,N/A
391659070,"All decisions regarding contributions are made by the Board of Directors of the Foundation. Commitments for funds are not made verbally and personal visits and phone calls to the Foundation are not encouraged. Applications for contributions should be submitted in writing and include a copy of the applicant's letter from the IRS granting tax exempt status under Section 501 (c) (3) of the Internal Revenue Code. Applications should also include, at a minimum, the following information: Description of the structure, purpose, history and programs of the applicant organization, together with a list of current officers and board members and their outside affiliations. Current income and expense budget and a copy of the organization's most recent audited financial statements and corresponding IRS 990 for the same year. (an online link to the 990 is sufficient) Summary of the proposed program(s) for which support is requested and the specific objectives to be obtained, total amount to be raised",Cathy Stagmer,None.,"The Foundation does not contribute to religious organizations or institutions primarily supported by taxes or public funds. The Foundation will not contribute to national organizations, medical research, directly to schools or universities or to community development programs. Contributions are limited to organizations which are exempt from taxation under the U.S. Internal Revenue Code. Contributions will not be made for use in foreign countries. Recipients will be required to certify that funds received from the Foundation will be utilized solely within the United States.",no,N/A
341437974,COPY OF 501C(3) EXEMPTION FINANCIAL STATUS OF ORGANIZATION AND PURPOSES FOR GRANT.,KATHRYN KLEIST,NONE,NONE,no,N/A
810696789,SUBMIT A BRIEF EXPLANATION OF THE REQUEST AND NECESSARY BUDGETS,ROBERT TAGLICH,NO SUBMISSION DEADLINES. A RESPONSE WILL BE SENT WITHIN 2 MONTHS,NO PREFERENCE.,no,N/A
316041997,"THE GRANT REQUESTOR MUST USE AN APPLICATION FORM AND EXPLAIN CLEARLY WHAT THE PROJECT WILL ACHIEVE, HOW THE GOALS WILL BE ACCOMPLISHED, WHO AND HOW MANY WILL BENEFIT, HOW LONG THE PROJECT WILL LAST, AND HOW RESULTS WILL BE TRACKED/MEASURED. THEY MUST ALSO ATTACH A DETAILED BUDGET OF PROJECT COSTS AND SUBMIT COPIES TO THE CLUB'S LOCATION AND INCLUDE A COPY OF THE REQUESTOR ORGANIZATION'S MOST RECENT ANNUAL FINANCIAL STATEMENTS AND ANNUAL REPORTS.",ROBERT BUESCHER SECRETARY,GRANT REQUESTS MAY BE SUBMITTED AT ANY TIME. THE BOARD MEETS QUARTERLY TO REVIEW APPLICATIONS.,THE KIWANIS OF DAYTON FOUNDATION IS INTERESTED IN FUNDING PROJECTS THAT DEMONSTRATE POSITIVE IMPACT ON CHILDREN IN THE GREATER DAYTON AREA. PROJECTS MUST REFLECT CAREFUL PLANNING AND A STRONG BASE OF SUPPORT AND BE CONSISTENT WITH THE IDEALS AND OBJECTIVES OF KIWANIS INTERNATIONAL AS WELL AS THE CORE SERVICE INTERESTS OF KIWANIS CLUB OF DAYTON FOUNDATION.,no,N/A
823579366,DONATION REQUESTS ARE BROUGHT TO THE ATTENTION OF TRAILWEST FOUNDATION COMMITTEE MEMBERS AND EMPLOYEES OF TRAILWEST BANK. THE BOARD OF DIRECTORS VOTE ON THE AMOUNT AND DONATIONS ARE MADE BASED ON NEED.,TRAILWEST FOUNDATION COMMITTEE,NONE AT THIS TIME,NONE AT THIS TIME,no,N/A
770560492,SEE ATTACHED APPLICATION,DR SUSAN JO BURWEN,DEADLINE FOR SUBMITTING APPLICATIONS SEPTEMBER 15,RESTRICTED TO SCHOLARSHIPS IN MOUNTAIN VIEW CA AND EDUCATION DEVELOPMENT IN NEPAL,no,N/A
800113844,None,Dr Michael Giudici,No Submission Deadline,No restrictions or limitations on awards.,no,N/A
223082471,"COPY OF EXEMPTION LETTER, LETTER SIGNED BY AN OFFICER'S STATEMENT THAT EXEMPTION IS CURRENT: CHARITABLE PURPOSE OF FUNDS REQUESTED.",RICK ROSENTHAL,SEPTEMBER 30 OR CURRENT FISCAL YEAR,NONE,no,N/A
952702624,"WRITTEN REQUESTS ACCEPTED FOR THEATRE AND ARTS PROGRAM FUNDING, FOR BOTH GENERAL SUPPORT AND SPECIFIC PROGRAM AND EVENT PURPOSES.",BARBARA MCLEAN,NO SPECIFIC DEADLINES.,NONE,no,N/A
452446944,"ORGANIZATIONS LETTERHEAD, DESCRIPTION OF PURPOSE FOR REQUEST. AMOUNT REQUESTED.",RON TURO,NONE,NONE,no,N/A
200478943,ORAL OR WRITTEN,RONALD P BRIGGS,NO,NO,no,N/A
237081254,"IN WRITING, SHOWING PURPOSE TO BE USED FOR AND INCLUDING PROOF OF TAX EXEMPT STATUS",CAROL KRESGE EXEC DIRECTOR,APRIL 1ST AND AUGUST 15TH,"THE ROGER KRESGE FOUNDATION CONCENTRATES GRANT FUNDING ON PROJECTS AND ORGANIZATIONS THAT ENHANCE, EXPAND AND IMPROVE THE LIVES AND OUTCOMES OF CHILDREN AND YOUNG ADULTS.",no,N/A
813373830,"A GRANT APPLICATION IS AVAILABLE ON OUR WEBSITE. FOR REQUESTS OF LESS THAN $1,000, COMPLETE SECTION 1. FOR REQUESTS OF $1,000 OR MORE, COMPLETE SECTIONS 1, 2, & 3. SECTION 1: ORGANIZATION INFORMATION, INCLUDING BUT NOT LIMITED TO CONFIRMATION OF 501(C)(3) PUBLIC CHARITY STATUS. (CONTINUED ON THE NEXT PAGE) SECTION 2: PROPOSAL SUMMARY * DESCRIBE YOUR ORGANIZATION'S HISTORY AND MISSION. * INCLUDE GEOGRAPHIC LOCATION OF YOUR ORGANIZATION AND ITS BENEFICIARIES. * PROVIDE A NARRATIVE OF THE PURPOSE OF YOUR REQUEST, INCLUDING WHAT THE BENEFICIARIES WILL GAIN FROM THIS FUNDING. SECTION 3: FUNDING REQUEST * PROVIDE A FINANCIAL SUMMARY OF HOW THE FUNDS WILL BE UTILIZED. * INCLUDE AN EXPENSE BUDGET FOR THE FINANCIAL REQUEST. * INCLUDE LAST YEAR'S ANNUAL REPORT.",DOMENIC DIPILLO EXECUTIVE DIRECTOR,NONE,"THE FOUNDATION WILL REVIEW ALL APPLICATIONS AND DETERMINE THE LEVEL OF INTEREST BASED ON THE GIVING GUIDELINES AND AVAILABILITY OF FUNDS. THE FOUNDATION WILL CONSIDER REQUESTS FROM QUALIFIED TAX-EXEMPT, NONPROFIT 501(C)(3) PUBLIC CHARITIES THAT SUPPORT THE FOLLOWING PURPOSES AS A CHARITABLE ENTITY: (1) CHARITIES PROVIDING PROGRAMS FOR CHILDREN AND ADULTS LIVING WITH A VARIETY OF PHYSICAL OR MENTAL DISABILITIES. (2) CHARITIES THAT ADDRESS POVERTY, HUNGER, OR TERMINAL ILLNESSES. (3) PROGRAMS SUPPORTING FINANCIAL LITERACY AND EDUCATION FOR YOUTH AND ADULTS. THE FOUNDATION WILL ALSO EVALUATE VARIOUS OPPORTUNITIES FOR COMMUNITY PROGRAMS AND SPONSORSHIPS THAT MAKE A MEANINGFUL DIFFERENCE IN THE COMMUNITIES WE SERVE.",no,N/A
870686764,WRITTEN,JAMES E ROBINSON,N/A,N/A,no,N/A
361210140,Visit the website for the organization's grant guidelines & application: http://wshf.org/general-guidelines/,HOWARD NOCHUMSON,GRANT SUBMISSIONS WERE ACCEPTED ON A CONTINUOUS ROLLING BASIS FOR EITHER THE 12/1 OR 6/1 DEADLINES.,NONE,no,N/A
237021474,BY TELEPHONE AND/OR CORRESPONDENCE STATING DETAIL RELATING TO REQUEST.,R B FLOWERS,NONE,NONE,no,N/A
854115661,N/A,John Woodruff,,,no,N/A
611794169,ELECTRONIC - WEB-BASED,THE SCOTTS MIRACLE-GRO FOUNDATION,NONE,THE AWARDS ARE GRANTED TO 501(C)(3) ORGANIZATIONS ONLY,no,N/A
133041401,LETTER,ROBERT MANHEIMER,NONE,NONE,no,N/A
205068278,DR. AND MRS. EDMUND BOTT FOUNDATION GRANT APPLICATION,GRANTS COMMITTEE,MAY 30 EACH YEAR,MUST MAINTAIN A 2.0 GRADE POINT AVERAGE,no,N/A
453945197,No formal application is required,Officers in part VII Section 1,12 31 2022,Charitable fields are generally to fall into our project areas of which four are listed in Part VIII-A,no,N/A
436619759,PLEASE CONTACT THE ABOVE,MISSOURI UNIVERSITY OF SCIENCE TE,PLEASE CONTACT THE ABOVE,PLEASE CONTACT THE ABOVE,no,N/A
226063514,APPLICATIONS WILL BE ACCEPTED WITH A COPY OF IRS DETERMINATION LETTER. APPLICATION CAN BE FOUND ON ARMEYERFOUNDATION.ORG/APPLY/,ALISSA MURPHY SECRETARYTREASURER,MARCH 1 ANNUALLY FOR APRIL REVIEW MEETING SEPTEMBER 1 ANNUALLY FOR OCTOBER REVIEW MEETING,"PRIORITY IS GIVEN TO THE NORTHEASTERN NEW JERSEY AREA. FOCUS IS ON HEALTHCARE, HUMAN SERVICES, RESEARCH, EDUCATION, ANIMAL WELFARE, AND THE ARTS.",no,N/A
166053127,NOT APPLICABLE,PRINCIPAL EAST HIGH SCHOOL,MARCH FOR SCHOLARSHIP GRANTS IN THE FOLLOWING YEAR,ONE YEAR SCHOLARSHIPS TO EAST HIGH SCHOOL GRADUATES ATTENDING COLLEGE,no,N/A
046065495,Letter,Anne Kelly,None,"In accordance with bylaws, the Nathaniel Taylor Fund gives financial aid to residents of Marshfield, MA who are in need of financial assistance, either by reason of sickness or other reason",no,N/A
391410324,APPLICATIONS SHOULD INCLUDE A DESCRIPTION OF THE AGENCY AND A BRIEF SUMMARY OF THE PROJECT FOR WHICH FUNDS ARE REQUESTED. INCLUDE EVIDENCE THE ORGANIZATION IS TAX EXEMPT UNDER SEC 501(C)(3),LINDA HANSEN,NONE,GRANTS TO ORGANIZATIONS DESCRIBED IN SEC 501(C)(3) AND NO PRIVATE NONOPERATING FOUNDATIONS,no,N/A
363484269,NO SPECIAL FORM,DONALD LEVINSON,NONE,NONE,no,N/A
456012365,EDUCATIONAL PURPOSE,LLOYD CASE,NONE,NONE,no,N/A
475512248,SEE STATEMENT,JOHN PIERCE,NONE,"NONE, ALTHOUGH FUNDS ARE PRIMARILY PROVIDED TO THE CITIZENS OF GREATER WASHINGTON DC-MARYLAND-VIRGINIA REGION AND MUST FIT THE MISSION STATEMENT OF THE FOUNDATION.",no,N/A
841161443,NONE,Mary Pat Valdes,NONE,NONE,no,N/A
311087759,WRITTEN REQUEST SHOULD INCLUDE THE PURPOSE FOR WHICH THE GRANT WILL BE USED,PNC BANK GRANT REVIEW COMMITTEE,NONE,"CONTRIBUTIONS ARE LIMITED TO THE HUNTINGTON, INDIANA AND VAN WERT, OHIO AREAS",no,N/A
943234431,THE APPLICATION SHOULD BE IN WRITTEN FORM AND SENT TO THE ABOVE ADDRESS.,KULHANJIAN STRAUCH FAMILY FOUNDATIO,NONE,NONE,no,N/A
316620372,NO SPECIFIED FORM,ZALKAN CHARITABLE FOUNDATION,NO SUBMISSION DEADLINES,NONE,no,N/A
912167782,"COUNT HIS BLESSINGS PROPOSAL COVER SHEET, PROJECT DESCRIPTION BUDGET",COUNT HIS BLESSING HARRY HONG,N/A,GRANTS ARE MADE TO MISSIONARY ORGANIZATIONS,no,N/A
